web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization,title,release_date,budget,revenue,runtime,genres,spoken_languages,production_countries,vote_average,vote_count
https://www.nytimes.com/2021/03/18/movies/luz-review.html,"In this romantic drama from Jon Garcia, two men find love in prison, then try to make it work on the outside.",The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: creative_works, value: Luz (Movie), rank: 2, major: N}, {name: persons, value: Garcia, Jon (1979- ), rank: 3, major: N}",2021-03-18T11:00:08+0000,296,‘Luz’ Review: Love In and Out of Lockup,,,Luz,,,,By Teo Bugbee,,Luz,2023-10-31,0,0,0,,,,0.0,0
https://www.nytimes.com/2021/03/18/movies/happily-review.html,"In this keeps-you-guessing comedy, Joel McHale and Kerry Bishé play a couple married for 14 years whose mutual passion is undimmed, to the annoyance of their friends.",The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: creative_works, value: Happily (Movie), rank: 2, major: N}, {name: persons, value: Grabinski, BenDavid, rank: 3, major: N}",2021-03-18T11:00:06+0000,344,‘Happily’ Review: Does Long-Lived Love Mean You Need Treatment?,,,Happily,,,,By Glenn Kenny,,Happily,2021-03-19,0,0,96,"Comedy, Romance, Science Fiction, Thriller",English,United States of America,5.7,96
https://www.nytimes.com/2021/02/23/movies/this-is-the-life-review.html,"Ava DuVernay’s 2008 documentary, now streaming on Netflix, is a personal love letter to a slice of Los Angeles’s 1990s hip-hop scene.",The New York Times,"{name: subject, value: Documentary Films and Programs, rank: 1, major: N}, {name: subject, value: Rap and Hip-Hop, rank: 2, major: N}, {name: persons, value: DuVernay, Ava, rank: 3, major: N}, {name: subject, value: Black People, rank: 4, major: N}, {name: subject, value: Blacks, rank: 5, major: N}, {name: glocations, value: California, rank: 6, major: N}, {name: glocations, value: Los Angeles (Calif), rank: 7, major: N}, {name: creative_works, value: This Is the Life (Movie), rank: 8, major: N}",2021-02-23T19:47:00+0000,470,‘This Is the Life’ Review: A Valuable Part of Hip-Hop History,Critic’s Pick,,A Love Letter to 1990s California Hip-Hop,,,,By Robert Daniels,,This Is the Life,2008-02-08,0,0,97,"Documentary, Music",English,United States of America,6.4,7
https://www.nytimes.com/2021/02/11/movies/to-all-the-boys-always-and-forever-review.html,"This final installment of the Netflix rom-com trilogy is earnest, bright-eyed and without a hint of cynicism.",The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: persons, value: Condor, Lana, rank: 2, major: N}, {name: persons, value: Fimognari, Michael, rank: 3, major: N}, {name: persons, value: Centineo, Noah, rank: 4, major: N}, {name: creative_works, value: To All the Boys: Always and Forever (Movie), rank: 5, major: N}",2021-02-12T02:00:03+0000,482,‘To All the Boys: Always and Forever’ Review: Love Sweet Love,,,A Rom-Com Sequel That May Cause Cavities,,,,By Maya Phillips,,To All the Boys: Always and Forever,2021-02-12,0,0,115,"Romance, Comedy, Drama","English, Korean",United States of America,7.6,1779
https://www.nytimes.com/2021/02/11/movies/young-hearts-review.html,"The brother and sister filmmakers Sarah Sherman and Zachary Ray Sherman deliver romance, unadorned.",The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: creative_works, value: Young Hearts (Movie), rank: 2, major: N}, {name: persons, value: Sherman, Sarah (Film Director), rank: 3, major: N}, {name: persons, value: Sherman, Zachary Ray (1984- ), rank: 4, major: N}",2021-02-11T12:00:06+0000,324,‘Young Hearts’ Review: Movie Love by Algorithm,,,Young Hearts,,,,By Kristen Yoonsoo Kim,,Young Hearts,2020-01-24,60000,0,85,"Romance, Comedy",English,United States of America,7.5,13
https://www.nytimes.com/2021/02/04/movies/little-fish-review.html,This sci-fi romance imagines a world with widespread memory loss through the eyes of one couple.,The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: creative_works, value: Little Fish (Movie), rank: 2, major: N}, {name: persons, value: Hartigan, Chad, rank: 3, major: N}",2021-02-04T12:00:06+0000,315,‘Little Fish’ Review: Do You Remember Love?,,,Little Fish,,,,By Kristen Yoonsoo Kim,,Little Fish,2021-02-05,0,39053,101,"Romance, Science Fiction, Drama",English,"Canada, United States of America",7.079,171
https://www.nytimes.com/2021/01/21/movies/atlantis-review-a-bleak-apocalypse-love-story.html,"Ukraine’s official Oscar entry, the movie depicts an all-too-convincing dystopia, with no fancy gadgets or cars.",The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: creative_works, value: Atlantis (Movie), rank: 2, major: N}, {name: persons, value: Vasyanovych, Valentyn, rank: 3, major: N}",2021-01-21T12:00:06+0000,320,‘Atlantis’ Review: A Bleak Apocalypse Love Story,Critic’s Pick,,Atlantis,,,,By Glenn Kenny,,Atlantis,1991-08-21,0,138,74,"Music, Documentary",French,"France, Italy",6.2,42
https://www.nytimes.com/2020/12/24/movies/review-your-name-engraved-herein.html,The filmmaker Patrick Liu keeps the focus on the two young men in this Taiwanese drama and blurs the rest.,The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: glocations, value: Taiwan, rank: 2, major: N}, {name: persons, value: Liu, Patrick (Filmmaker), rank: 3, major: N}, {name: creative_works, value: Your Name Engraved Herein (Movie), rank: 4, major: N}",2020-12-24T12:00:06+0000,295,‘Your Name Engraved Herein’ Review: When Love Is All You Can See,,,Your Name Engraved Herein,,,,By Teo Bugbee,,Your Name Engraved Herein,2020-09-30,0,0,114,"Romance, Drama","Mandarin, English","Taiwan, United States of America",7.895,228
https://www.nytimes.com/2020/12/17/movies/museum-town-review.html,This documentary looks at how a contemporary art museum in Western Massachusetts transformed a struggling small town.,The New York Times,"{name: subject, value: Documentary Films and Programs, rank: 1, major: N}, {name: subject, value: Art, rank: 2, major: N}, {name: creative_works, value: Museum Town (Movie), rank: 3, major: N}, {name: persons, value: Trainer, Jennifer, rank: 4, major: N}, {name: organizations, value: Massachusetts Museum of Contemporary Art, rank: 5, major: N}, {name: subject, value: Museums, rank: 6, major: N}, {name: glocations, value: North Adams (Mass), rank: 7, major: N}",2020-12-17T15:49:52+0000,280,‘Museum Town’ Review: A Love Letter to Mass MoCA,,,Museum Town,,,,By Lovia Gyarkye,,Museum Town,2019-03-10,0,0,75,Documentary,English,United States of America,0.0,0
https://www.nytimes.com/2020/12/10/movies/wild-mountain-thyme-review.html,John Patrick Shanley adapts his play “Outside Mullingar” into a movie. (Don’t worry about the accents.),The New York Times,"{name: subject, value: Movies, rank: 1, major: N}, {name: persons, value: Shanley, John Patrick, rank: 2, major: N}, {name: persons, value: Blunt, Emily, rank: 3, major: N}, {name: persons, value: Dornan, Jamie, rank: 4, major: N}, {name: creative_works, value: Outside Mullingar (Play), rank: 5, major: N}, {name: creative_works, value: Wild Mountain Thyme (Movie), rank: 6, major: N}",2020-12-10T12:00:04+0000,341,‘Wild Mountain Thyme’ Review: Finding Love Down on the Farm,,,Wild Mountain Thyme,,,,By Glenn Kenny,,Wild Mountain Thyme,2020-12-11,0,0,102,"Romance, Drama",English,"Ireland, United Kingdom",5.1,142
